repetitions,type_colmet,sampling_period,metrics,time,Mops,nb_nodes
23,Without,-1,"_",18.30,199028.98,16
5,Without,-1,"_",18.20,200105.02,16
7,Without,-1,"_",18.43,197627.90,16
24,Without,-1,"_",18.44,197518.79,16
16,Without,-1,"_",18.44,197544.81,16
12,Without,-1,"_",18.48,197120.06,16
11,Without,-1,"_",18.87,193064.13,16
21,Without,-1,"_",18.61,195768.43,16
9,Without,-1,"_",19.18,189908.53,16
15,Without,-1,"_",18.43,197674.81,16
25,Without,-1,"_",18.35,198527.70,16
18,Without,-1,"_",18.61,195791.59,16
29,Without,-1,"_",18.25,199584.78,16
20,Without,-1,"_",18.54,196526.80,16
4,Without,-1,"_",18.34,198599.81,16
6,Without,-1,"_",18.75,194265.98,16
22,Without,-1,"_",18.80,193795.55,16
0,Without,-1,"_",18.65,195356.58,16
26,Without,-1,"_",18.34,198622.72,16
13,Without,-1,"_",18.47,197186.69,16
2,Without,-1,"_",18.59,195953.27,16
14,Without,-1,"_",18.74,194396.84,16
19,Without,-1,"_",18.67,195132.44,16
10,Without,-1,"_",18.23,199870.45,16
17,Without,-1,"_",18.51,196839.79,16
28,Without,-1,"_",18.44,197527.78,16
8,Without,-1,"_",18.64,195463.55,16
1,Without,-1,"_",18.73,194475.05,16
3,Without,-1,"_",18.51,196754.39,16
27,Without,-1,"_",18.48,197086.00,16
